Quick,DCCA,0.000428,
Tim,DCCA,0.000122,
Cape,DCCD,0.000175,
Quad,DCCD,0.000159,
Quick,DCCD,0.000431,
Tim,DCCD,0.000172,
Cape,DCCC,0.000131,
Quad,DCCC,0.000120,
Quick,DCCC,0.000392,
Tim,DCCC,0.000104,
Cape,DCCR,0.000310,
Quad,DCCR,0.000290,
Quick,DCCR,0.000523,
Tim,DCCR,0.000499,
Cape,DCRA,0.000353,
Quad,DCRA,0.000324,
Quick,DCRA,0.000601,
Tim,DCRA,0.000566,
Cape,DCRD,0.000373,
Quad,DCRD,0.000347,
Quick,DCRD,0.000576,
Tim,DCRD,0.000565,
Cape,DCRC,0.000315,
Quad,DCRC,0.000296,
Quick,DCRC,0.000539,
Tim,DCRC,0.000499,
Cape,DCRR,0.000463,
Quad,DCRR,0.000452,
Quick,DCRR,0.000628,
Tim,DCRR,0.000845,
Cape,DRAA,0.000302,
Quad,DRAA,0.000285,
Quick,DRAA,0.000514,
Tim,DRAA,0.000451,
Cape,DRAD,0.000378,
Quad,DRAD,0.000364,
Quick,DRAD,0.000591,
Tim,DRAD,0.000569,
Cape,DRAC,0.000327,
Quad,DRAC,0.000303,
Quick,DRAC,0.000543,
Tim,DRAC,0.000479,
Cape,DRAR,0.000478,
Quad,DRAR,0.000449,
Quick,DRAR,0.000654,
Tim,DRAR,0.000854,
Cape,DRDA,0.000360,
Quad,DRDA,0.000319,
Quick,DRDA,0.000524,
Tim,DRDA,0.000527,
Cape,DRDD,0.000349,
Quad,DRDD,0.000328,
Quick,DRDD,0.000505,
Tim,DRDD,0.000571,
Cape,DRDC,0.000326,
Quad,DRDC,0.000304,
Quick,DRDC,0.000508,
Tim,DRDC,0.000523,
Cape,DRDR,0.000485,
Quad,DRDR,0.000449,
Quick,DRDR,0.000620,
Tim,DRDR,0.000893,
Cape,DRCA,0.000330,
Quad,DRCA,0.000307,
Quick,DRCA,0.000548,
Tim,DRCA,0.000520,
Cape,DRCD,0.000321,
Quad,DRCD,0.000305,
Quick,DRCD,0.000519,
Tim,DRCD,0.000540,
Cape,DRCC,0.000300,
Quad,DRCC,0.000280,
Quick,DRCC,0.000515,
Tim,DRCC,0.000548,
Cape,DRCR,0.000454,
Quad,DRCR,0.000434,
Quick,DRCR,0.000620,
Tim,DRCR,0.000838,
Cape,DRRA,0.000470,
Quad,DRRA,0.000452,
Quick,DRRA,0.000642,
Tim,DRRA,0.000838,
Cape,DRRD,0.000495,
Quad,DRRD,0.000487,
Quick,DRRD,0.000630,
Tim,DRRD,0.000899,
Cape,DRRC,0.000432,
Quad,DRRC,0.000416,
Quick,DRRC,0.000585,
Tim,DRRC,0.000775,
Cape,DRRR,0.000574,
Quad,DRRR,0.000551,
Quick,DRRR,0.000674,
Tim,DRRR,0.001100,
Cape,CAAA,0.000051,
Quad,CAAA,0.000039,
Quick,CAAA,0.000374,
Tim,CAAA,0.000034,
Cape,CAAD,0.000154,
Quad,CAAD,0.000139,
Quick,CAAD,0.000427,
Tim,CAAD,0.000099,
Cape,CAAC,0.000051,
Quad,CAAC,0.000038,
Quick,CAAC,0.000375,
Tim,CAAC,0.000035,
Cape,CAAR,0.000246,
Quad,CAAR,0.000228,
Quick,CAAR,0.000473,
Tim,CAAR,0.000381,
Cape,CADA,0.000220,
Quad,CADA,0.000198,
Quick,CADA,0.000515,
Tim,CADA,0.000189,
Cape,CADD,0.000231,
Quad,CADD,0.000208,
Quick,CADD,0.000526,
Tim,CADD,0.000178,
Cape,CADC,0.000186,
Quad,CADC,0.000169,
Quick,CADC,0.000497,
Tim,CADC,0.000156,
Cape,CADR,0.000325,
Quad,CADR,0.000311,
Quick,CADR,0.000557,
Tim,CADR,0.000507,
Cape,CACA,0.000051,
Quad,CACA,0.000038,
Quick,CACA,0.000376,
Tim,CACA,0.000034,
Cape,CACD,0.000149,
Quad,CACD,0.000133,
Quick,CACD,0.000412,
Tim,CACD,0.000125,
Cape,CACC,0.000051,
Quad,CACC,0.000038,
Quick,CACC,0.000373,
Tim,CACC,0.000035,
Cape,CACR,0.000257,
Quad,CACR,0.000241,
Quick,CACR,0.000501,
Tim,CACR,0.000418,
Cape,CARA,0.000268,
Quad,CARA,0.000242,
Quick,CARA,0.000515,
Tim,CARA,0.000427,
Cape,CARD,0.000332,
Quad,CARD,0.000315,
Quick,CARD,0.000570,
Tim,CARD,0.000501,
Cape,CARC,0.000249,
Quad,CARC,0.000233,
Quick,CARC,0.000482,
Tim,CARC,0.000402,
Cape,CARR,0.000400,
Quad,CARR,0.000374,
Quick,CARR,0.000587,
Tim,CARR,0.000758,
Cape,CDAA,0.000168,
Quad,CDAA,0.000148,
Quick,CDAA,0.000450,
Tim,CDAA,0.000153,
Cape,CDAD,0.000232,
Quad,CDAD,0.000217,
Quick,CDAD,0.000509,
Tim,CDAD,0.000256,
Cape,CDAC,0.000153,
Quad,CDAC,0.000138,
Quick,CDAC,0.000421,
Tim,CDAC,0.000190,
Cape,CDAR,0.000305,
Quad,CDAR,0.000293,
Quick,CDAR,0.000530,
Tim,CDAR,0.000505,
Cape,CDDA,0.000188,
Quad,CDDA,0.000174,
Quick,CDDA,0.000433,
Tim,CDDA,0.000174,
Cape,CDDD,0.000187,
Quad,CDDD,0.000176,
Quick,CDDD,0.000416,
Tim,CDDD,0.000172,
Cape,CDDC,0.000151,
Quad,CDDC,0.000139,
Quick,CDDC,0.000401,
Tim,CDDC,0.000151,
Cape,CDDR,0.000295,
Quad,CDDR,0.000277,
Quick,CDDR,0.000487,
Tim,CDDR,0.000491,
Cape,CDCA,0.000146,
Quad,CDCA,0.000132,
Quick,CDCA,0.000408,
Tim,CDCA,0.000183,
Cape,CDCD,0.000155,
Quad,CDCD,0.000141,
Quick,CDCD,0.000391,
Tim,CDCD,0.000188,
Cape,CDCC,0.000124,
Quad,CDCC,0.000111,
Quick,CDCC,0.000381,
Tim,CDCC,0.000178,
Cape,CDCR,0.000292,
Quad,CDCR,0.000278,
Quick,CDCR,0.000513,
Tim,CDCR,0.000524,
Cape,CDRA,0.000332,
Quad,CDRA,0.000305,
Quick,CDRA,0.000566,
Tim,CDRA,0.000546,
Cape,CDRD,0.000309,
Quad,CDRD,0.000294,
Quick,CDRD,0.000490,
Tim,CDRD,0.000511,
Cape,CDRC,0.000287,
Quad,CDRC,0.000264,
Quick,CDRC,0.000505,
Tim,CDRC,0.000526,
Cape,CDRR,0.000436,
Quad,CDRR,0.000421,
Quick,CDRR,0.000607,
Tim,CDRR,0.000858,
Cape,CCAA,0.000052,
Quad,CCAA,0.000040,
Quick,CCAA,0.000396,
Tim,CCAA,0.000036,
Cape,CCAD,0.000152,
Quad,CCAD,0.000140,
Quick,CCAD,0.000423,
Tim,CCAD,0.000097,
Cape,CCAC,0.000052,
Quad,CCAC,0.000039,
Quick,CCAC,0.000382,
Tim,CCAC,0.000035,
Cape,CCAR,0.000250,
Quad,CCAR,0.000229,
Quick,CCAR,0.000482,
Tim,CCAR,0.000389,
Cape,CCDA,0.000143,
Quad,CCDA,0.000124,
Quick,CCDA,0.000421,
Tim,CCDA,0.000137,
Cape,CCDD,0.000147,
Quad,CCDD,0.000136,
Quick,CCDD,0.000397,
Tim,CCDD,0.000126,
Cape,CCDC,0.000118,
Quad,CCDC,0.000107,
Quick,CCDC,0.000388,
Tim,CCDC,0.000121,
Cape,CCDR,0.000299,
Quad,CCDR,0.000275,
Quick,CCDR,0.000534,
Tim,CCDR,0.000514,
Cape,CCCA,0.000059,
Quad,CCCA,0.000044,
Quick,CCCA,0.000429,
Tim,CCCA,0.000040,
Cape,CCCD,0.000131,
Quad,CCCD,0.000120,
Quick,CCCD,0.000410,
Tim,CCCD,0.000112,
Cape,CCCC,0.000051,
Quad,CCCC,0.000038,
Quick,CCCC,0.000378,
Tim,CCCC,0.000035,
Cape,CCCR,0.000263,
Quad,CCCR,0.000245,
Quick,CCCR,0.000513,
Tim,CCCR,0.000439,
Cape,CCRA,0.000266,
Quad,CCRA,0.000242,
Quick,CCRA,0.000516,
Tim,CCRA,0.000456,
Cape,CCRD,0.000294,
Quad,CCRD,0.000282,
Quick,CCRD,0.000511,
Tim,CCRD,0.000462,
Cape,CCRC,0.000260,
Quad,CCRC,0.000238,
Quick,CCRC,0.000505,
Tim,CCRC,0.000429,
Cape,CCRR,0.000400,
Quad,CCRR,0.000380,
Quick,CCRR,0.000582,
Tim,CCRR,0.000766,
Cape,CRAA,0.000244,
Quad,CRAA,0.000221,
Quick,CRAA,0.000473,
Tim,CRAA,0.000403,
Cape,CRAD,0.000298,
Quad,CRAD,0.000276,
Quick,CRAD,0.000505,
Tim,CRAD,0.000457,
Cape,CRAC,0.000238,
Quad,CRAC,0.000220,
Quick,CRAC,0.000466,
Tim,CRAC,0.000391,
Cape,CRAR,0.000375,
Quad,CRAR,0.000363,
Quick,CRAR,0.000558,
Tim,CRAR,0.000710,
Cape,CRDA,0.000305,
Quad,CRDA,0.000290,
Quick,CRDA,0.000524,
Tim,CRDA,0.000476,
Cape,CRDD,0.000326,
Quad,CRDD,0.000309,
Quick,CRDD,0.000523,
Tim,CRDD,0.000483,
Cape,CRDC,0.000299,
Quad,CRDC,0.000279,
Quick,CRDC,0.000517,
Tim,CRDC,0.000507,
Cape,CRDR,0.000443,
Quad,CRDR,0.000419,
Quick,CRDR,0.000598,
Tim,CRDR,0.000825,
Cape,CRCA,0.000257,
Quad,CRCA,0.000237,
Quick,CRCA,0.000490,
Tim,CRCA,0.000437,
Cape,CRCD,0.000285,
Quad,CRCD,0.000267,
Quick,CRCD,0.000509,
Tim,CRCD,0.000507,
Cape,CRCC,0.000252,
Quad,CRCC,0.000232,
Quick,CRCC,0.000494,
Tim,CRCC,0.000435,
Cape,CRCR,0.000408,
Quad,CRCR,0.000395,
Quick,CRCR,0.000597,
Tim,CRCR,0.000829,
Cape,CRRA,0.000394,
Quad,CRRA,0.000374,
Quick,CRRA,0.000569,
Tim,CRRA,0.000798,
Cape,CRRD,0.000446,
Quad,CRRD,0.000416,
Quick,CRRD,0.000598,
Tim,CRRD,0.000855,
Cape,CRRC,0.000412,
Quad,CRRC,0.000390,
Quick,CRRC,0.000598,
Tim,CRRC,0.000842,
Cape,CRRR,0.000563,
Quad,CRRR,0.000548,
Quick,CRRR,0.000705,
Tim,CRRR,0.001120,
Cape,RAAA,0.000213,
Quad,RAAA,0.000194,
Quick,RAAA,0.000511,
Tim,RAAA,0.000390,
Cape,RAAD,0.000331,
Quad,RAAD,0.000314,
Quick,RAAD,0.000566,
Tim,RAAD,0.000484,
Cape,RAAC,0.000223,
Quad,RAAC,0.000200,
Quick,RAAC,0.000532,
Tim,RAAC,0.000417,
Cape,RAAR,0.000436,
Quad,RAAR,0.000413,
Quick,RAAR,0.000640,
Tim,RAAR,0.000779,
Cape,RADA,0.000379,
Quad,RADA,0.000349,
Quick,RADA,0.000607,
Tim,RADA,0.000541,
Cape,RADD,0.000354,
Quad,RADD,0.000339,
Quick,RADD,0.000551,
Tim,RADD,0.000495,
Cape,RADC,0.000311,
Quad,RADC,0.000290,
Quick,RADC,0.000521,
Tim,RADC,0.000464,
Cape,RADR,0.000496,
Quad,RADR,0.000474,
Quick,RADR,0.000678,
Tim,RADR,0.000886,
Cape,RACA,0.000284,
Quad,RACA,0.000269,
Quick,RACA,0.000555,
Tim,RACA,0.000421,
Cape,RACD,0.000322,
Quad,RACD,0.000307,
Quick,RACD,0.000562,
Tim,RACD,0.000516,
Cape,RACC,0.000242,
Quad,RACC,0.000227,
Quick,RACC,0.000477,
Tim,RACC,0.000380,
Cape,RACR,0.000397,
Quad,RACR,0.000374,
Quick,RACR,0.000590,
Tim,RACR,0.000732,
Cape,RARA,0.000389,
Quad,RARA,0.000372,
Quick,RARA,0.000572,
Tim,RARA,0.000743,
Cape,RARD,0.000506,
Quad,RARD,0.000474,
Quick,RARD,0.000692,
Tim,RARD,0.000906,
Cape,RARC,0.000416,
Quad,RARC,0.000393,
Quick,RARC,0.000624,
Tim,RARC,0.000783,
Cape,RARR,0.000538,
Quad,RARR,0.000515,
Quick,RARR,0.000672,
Tim,RARR,0.001069,
Cape,RDAA,0.000312,
Quad,RDAA,0.000294,
Quick,RDAA,0.000515,
Tim,RDAA,0.000555,
Cape,RDAD,0.000381,
Quad,RDAD,0.000359,
Quick,RDAD,0.000571,
Tim,RDAD,0.000629,
Cape,RDAC,0.000321,
Quad,RDAC,0.000299,
Quick,RDAC,0.000525,
Tim,RDAC,0.000580,
Cape,RDAR,0.000493,
Quad,RDAR,0.000462,
Quick,RDAR,0.000662,
Tim,RDAR,0.000998,
Cape,RDDA,0.000334,
Quad,RDDA,0.000315,
Quick,RDDA,0.000513,
Tim,RDDA,0.000694,
Cape,RDDD,0.000343,
Quad,RDDD,0.000322,
Quick,RDDD,0.000511,
Tim,RDDD,0.000821,
Cape,RDDC,0.000355,
Quad,RDDC,0.000329,
Quick,RDDC,0.000557,
Tim,RDDC,0.000784,
Cape,RDDR,0.000487,
Quad,RDDR,0.000469,
Quick,RDDR,0.000638,
Tim,RDDR,0.001107,
Cape,RDCA,0.000354,
Quad,RDCA,0.000329,
Quick,RDCA,0.000596,
Tim,RDCA,0.000631,
Cape,RDCD,0.000346,
Quad,RDCD,0.000325,
Quick,RDCD,0.000552,
Tim,RDCD,0.000691,
Cape,RDCC,0.000311,
Quad,RDCC,0.000278,
Quick,RDCC,0.000513,
Tim,RDCC,0.000589,
Cape,RDCR,0.000437,
Quad,RDCR,0.000418,
Quick,RDCR,0.000591,
Tim,RDCR,0.000916,
Cape,RDRA,0.000455,
Quad,RDRA,0.000440,
Quick,RDRA,0.000622,
Tim,RDRA,0.000916,
Cape,RDRD,0.000463,
Quad,RDRD,0.000440,
Quick,RDRD,0.000588,
Tim,RDRD,0.000928,
Cape,RDRC,0.000441,
Quad,RDRC,0.000415,
Quick,RDRC,0.000600,
Tim,RDRC,0.000917,
Cape,RDRR,0.000625,
Quad,RDRR,0.000608,
Quick,RDRR,0.000732,
Tim,RDRR,0.001358,
Cape,RCAA,0.000277,
Quad,RCAA,0.000251,
Quick,RCAA,0.000526,
Tim,RCAA,0.000504,
Cape,RCAD,0.000336,
Quad,RCAD,0.000319,
Quick,RCAD,0.000555,
Tim,RCAD,0.000606,
Cape,RCAC,0.000263,
Quad,RCAC,0.000252,
Quick,RCAC,0.000517,
Tim,RCAC,0.000494,
Cape,RCAR,0.000468,
Quad,RCAR,0.000442,
Quick,RCAR,0.000669,
Tim,RCAR,0.000978,
Cape,RCDA,0.000344,
Quad,RCDA,0.000330,
Quick,RCDA,0.000577,
Tim,RCDA,0.000678,
Cape,RCDD,0.000331,
Quad,RCDD,0.000316,
Quick,RCDD,0.000536,
Tim,RCDD,0.000635,
Cape,RCDC,0.000280,
Quad,RCDC,0.000261,
Quick,RCDC,0.000488,
Tim,RCDC,0.000577,
Cape,RCDR,0.000461,
Quad,RCDR,0.000439,
Quick,RCDR,0.000623,
Tim,RCDR,0.000991,
Cape,RCCA,0.000261,
Quad,RCCA,0.000243,
Quick,RCCA,0.000503,
Tim,RCCA,0.000603,
Cape,RCCD,0.000275,
Quad,RCCD,0.000258,
Quick,RCCD,0.000491,
Tim,RCCD,0.000646,
Cape,RCCC,0.000252,
Quad,RCCC,0.000233,
Quick,RCCC,0.000496,
Tim,RCCC,0.000694,
Cape,RCCR,0.000412,
Quad,RCCR,0.000393,
Quick,RCCR,0.000599,
Tim,RCCR,0.000974,
Cape,RCRA,0.000393,
Quad,RCRA,0.000374,
