Sorts,Sequence,Time,
Cape - Quad,DDDR,0.004415,[-39281 -39283 -39285 -39287 -39288],[-78612 -78613 -78614 -78616 -78618],[-117837 -117838 -117839 -117841 -117842],[-147337 -147335 -147336 -147334 -147336],
Quad,DDDR,0.004357,
Quick,DDDR,0.007277,
Tim,DDDR,0.005087,
Cape - Tim,DDCA,0.001324,[-39247 -39249 -39250 -39252 -39254],[-78367 -78368 -78369 -78370 -78372],[-97957 -97957 -97957 -97957 -97957],[-88124 -88122 -88121 -88119 -88118],
Quad,DDCA,0.002218,
Quick,DDCA,0.006074,
Tim,DDCA,0.001305,
Cape - Tim,DDCD,0.001631,[-39364 -39365 -39367 -39368 -39369],[-78744 -78746 -78747 -78748 -78749],[-98442 -98442 -98442 -98442 -98442],[-108315 -108316 -108317 -108318 -108319],
Quad,DDCD,0.002653,
Quick,DDCD,0.006124,
Tim,DDCD,0.001615,
Cape - Tim,DDCC,0.001186,[-39192 -39193 -39195 -39196 -39198],[-78506 -78507 -78509 -78511 -78513],[-98192 -98192 -98192 -98192 -98192],[-98192 -98192 -98192 -98192 -98192],
Quad,DDCC,0.002003,
Quick,DDCC,0.005827,
Tim,DDCC,0.001170,
Cape - Quad,DDCR,0.004164,[-39403 -39405 -39407 -39408 -39410],[-78694 -78695 -78697 -78698 -78699],[-98230 -98230 -98230 -98230 -98230],[-98260 -98258 -98260 -98259 -98261],
Quad,DDCR,0.004106,
Quick,DDCR,0.007091,
Tim,DDCR,0.005188,
Cape - Quad,DDRA,0.004308,[-39230 -39232 -39233 -39235 -39236],[-78583 -78584 -78585 -78587 -78588],[-98157 -98156 -98158 -98156 -98158],[-88298 -88296 -88295 -88294 -88293],
Quad,DDRA,0.004251,
Quick,DDRA,0.007196,
Tim,DDRA,0.005160,
Cape - Quad,DDRD,0.004609,[-39286 -39287 -39288 -39290 -39292],[-78552 -78554 -78555 -78557 -78558],[-98296 -98294 -98296 -98294 -98296],[-108192 -108193 -108194 -108196 -108198],
Quad,DDRD,0.004551,
Quick,DDRD,0.007328,
Tim,DDRD,0.005394,
Cape - Quad,DDRC,0.004132,[-39215 -39216 -39217 -39218 -39220],[-78514 -78516 -78517 -78519 -78521],[-98179 -98178 -98180 -98179 -98180],[-98217 -98217 -98217 -98217 -98217],
Quad,DDRC,0.004075,
Quick,DDRC,0.007015,
Tim,DDRC,0.005215,
Cape - Quad,DDRR,0.005839,[-39352 -39353 -39354 -39355 -39357],[-78799 -78801 -78803 -78805 -78807],[-98363 -98362 -98364 -98362 -98363],[-98362 -98361 -98363 -98362 -98363],
Quad,DDRR,0.005781,
Quick,DDRR,0.008214,
Tim,DDRR,0.009104,
Cape - Tim,DCAA,0.001147,[-39309 -39310 -39311 -39312 -39314],[-49156 -49156 -49156 -49156 -49156],[-29450 -29448 -29447 -29445 -29443],[9765 9767 9768 9770 9772],
Quad,DCAA,0.001824,
Quick,DCAA,0.005780,
Tim,DCAA,0.001126,
Cape - Tim,DCAD,0.002075,[-39194 -39195 -39196 -39198 -39200],[-49027 -49027 -49027 -49027 -49027],[-29367 -29365 -29363 -29361 -29360],[-9709 -9711 -9713 -9715 -9717],
Quad,DCAD,0.002963,
Quick,DCAD,0.006580,
Tim,DCAD,0.002061,
Cape - Tim,DCAC,0.001306,[-39248 -39250 -39252 -39253 -39255],[-49081 -49081 -49081 -49081 -49081],[-29479 -29477 -29476 -29474 -29472],[18 18 18 18 18],
Quad,DCAC,0.001903,
Quick,DCAC,0.005896,
Tim,DCAC,0.001285,
Cape - Quad,DCAR,0.003920,[-39295 -39297 -39299 -39300 -39301],[-49116 -49116 -49116 -49116 -49116],[-29351 -29350 -29348 -29346 -29345],[352 354 352 354 352],
Quad,DCAR,0.003866,
Quick,DCAR,0.006947,
Tim,DCAR,0.005032,
